question,answer
What is the functionality of the system?,"The system provides various functionalities such as Search Member, PF Settlement, Pension Settlement, PF and Pension Settlement, Advance PF Settlement, etc."
What is the first step for a RODA to enroll and create a password?,enrolment using the Login ID received on his/her mail
What are the options provided after logging into the account?,"Search Member, PF Settlement, Pension Settlement, PF and Pension Settlement, PF Advance Claim settlement, View/Update Ledger, Search Member"
How can IDS search for a member?,"by entering any of the following: CMPFO Account Number, Aadhaar Number, PAN, Mobile Number, Name"
What is shown under the Received tab for PF Claims?,all the PF Claims assigned to RODA
What is shown under the Processed tab for PF Claims?,the PF Claims approved by the RODA
What is shown under the Returned tab for PF Claims?,the PF Claims which are returned by RODA to SI
What is generated by clicking on Preview DPO?,Draft Pay Order
What is the next step after generating the Draft Pay Order?,"RODA clicks on Assign button, selects the Section In-charge and clicks on OK to forward the claim"
What is shown under the Received tab for Pension Claims?,all the Pension Claims assigned to RODA
What is shown under the Processed tab for Pension Claims?,the Pension Claims approved by the RODA
What is shown under the Returned tab for Pension Claims?,the Pension Claims which are returned by RODA to SI
What is generated by clicking on Preview PENSET button and then on Generate PENSET button?,PENSET
What is the next step after generating the PENSET?,"RODA clicks on Assign button, selects the Section In-charge and clicks on OK button to forward the claim"
What is shown under the Received tab for PF Advance Claims?,all the PF Advance Claims assigned to RODA
What are the options provided for searching a member?,"Search Member tab, using which IDS can search for any member to view the details"
How can RODA verify a particular claim?,"by clicking on the Claim Id, claim submission form opens"
What is the functionality followed in PF Advance Claim Settlement?,the same functionality as in PF settlement
What is the first step for RODA to login into his/her account?,clicking on Officer Login under the Login tab
What is the purpose of the Login ID received on his/her mail?,enrolment and creating a password
What are the options provided under the Login tab?,Officer Login
What is the purpose of the Search Member tab?,IDS can search for any member to view the details
What are the options provided under the Received tab?,"all the PF Claims assigned to RODA, all the Pension Claims assigned to RODA, all the PF Advance Claims assigned to RODA"
What are the options provided under the Processed tab?,"the PF Claims approved by the RODA, the Pension Claims approved by the RODA"
What are the options provided under the Returned tab?,"the PF Claims which are returned by RODA to SI, the Pension Claims which are returned by RODA to SI"
What is the purpose of the Assign button?,forwarding the claim to the selected Section In-charge
What is the purpose of the Section In-charge?,to forward the claim
What is the purpose of the OK button?,to forward the claim to the selected Section In-charge
What is the purpose of the Preview DPO button?,to generate the Draft Pay Order
What is the purpose of the Preview PENSET button?,to generate the PENSET
What is the purpose of the Generate PENSET button?,to generate the PENSET
What is the purpose of the Net Amount Payable?,to calculate automatically
What is the purpose of the Rate of Interest?,to enter the current year's
What is the purpose of the Claim submission form?,to open by clicking on the Claim Id
What is the purpose of the Draft Pay Order?,to generate by clicking on Preview DPO
What is the purpose of the PENSET?,to generate by clicking on Preview PENSET button and then on Generate PENSET button
Who selects the Section In-charge?,RODA
What is the purpose of clicking on the OK button?,To forward the claim to the selected Section In-charge
Where are all PF Advance Claims assigned to RODA shown?,Under the Received tab
What does RODA do when they find any discrepancy?,Return to the SI officer
How does RODA verify a particular claim?,By clicking on the Claim Id
What does RODA generate by clicking on the Preview DPO button?,DPO
What does RODA do after verifying all the details?,Generate DPO
What does RODA do after generating DPO?,Clicks on Assign button
How does RODA select the Section In-charge?,From the drop-down list
What does RODA do after selecting the Section In-charge?,Clicks on OK to forward the claim
What does the officer have to enter to view his/her ledger details?,Member’s CMPF a/c no
Who can update the PF Ledger of the members?,DA
What does DA do after updating the ledger?,Saves the changes
How does SI enrol himself/herself?,Using the Login ID received on his/her email
What does SI have to create after enrolment?,Password
How does SI login into his/her account?,By clicking on Officer Login under the Login tab
What options are available after logging into the account?,"Search Member, PF Settlement, Pension Settlement, PF and Pension Settlement, PF Advance Claim Settlement, View Ledger"
How can SI search for any member?,"By any of the following: CMPF Account Number, Aadhaar Number, PAN, Mobile Number, Name"
Where are PF Claim/Claims forwarded by RODA to SI shown?,Under Received tab
What can SI do with the claim?,"Return the claim to BO/RH with Remarks, transfer the claim to another SI, forward the claim to BO/RH"
Where are all the PF Claims which are forwarded to BO/RH shown?,Under the Processed tab
Where are all the PF Claims which are returned to SI or returned by SI shown?,Under the Returned tab
What does SI do in the View Ledger tab?,View ledger of any member who falls under his/her region
How does SI view ledger of any member?,By entering CMPF account number
Who has to enrol himself/herself?,Section In-charge (SI)
What does Section In-charge (SI) have to create after enrolment?,Password
How does Section In-charge (SI) login into his/her account?,By clicking on Officer Login under the Login tab
What options are available after logging into the account for Section In-charge (SI)?,"Search Member, PF Settlement, Pension Settlement, PF and Pension Settlement, PF Advance Claim Settlement, View Ledger"
How does Section In-charge (SI) search for any member?,"By any of the following: CMPF Account Number, Aadhaar Number, PAN, Mobile Number, Name"
What does Branch Officer (BO) do?,Not specified
What does RODA do with the claim?,"Verify a particular claim, return to the SI officer if he/she finds any discrepancy, forward the claim to the selected Section In-charge"
What does DA do with the ledger?,"Update the PF Ledger of the members, add a new row to insert the missing year’s ledger or current year’s ledger"
What does SI do with the claim?,"Return the claim to BO/RH with Remarks, transfer the claim to another SI, forward the claim to BO/RH"
What does SI do in the View Ledger tab?,View ledger of any member who falls under his/her region
How does SI view ledger of any member?,By entering CMPF account number
What does the officer do after updating the ledger?,Saves the changes
What does Section In-charge (SI) do after logging into the account?,"Search Member, PF Settlement, Pension Settlement, PF and Pension Settlement, PF Advance Claim Settlement, View Ledger"
How does Section In-charge (SI) search for any member?,"By any of the following: CMPF Account Number, Aadhaar Number, PAN, Mobile Number, Name"
What is the process for a Branch Officer to enrol himself/herself?,Branch Officer (BO) has to enrol himself/herself and create a password using the Login ID received on his/her email.
What are the options available after a Branch Officer logs into his/her account?,"Following options are available: Search Member, PF Settlement, Pension Settlement, PF and Pension Settlement, PF Advance Claim settlement, View Ledger"
How can a Branch Officer search for a member?,"Using Search Member tab, BO can search for any member to view the details. IDS can search for member by entering any of the following: CMPFO Account Number, Aadhaar Number, PAN, Mobile Number, Name"
